i,drand48()
0,3.90799e-14
1,0.000985395
2,0.041631
3,0.176643
4,0.364602
5,0.0913306
6,0.0922976
7,0.487217
8,0.52675
9,0.454433
10,0.233178
11,0.831292
12,0.931731
13,0.56806
14,0.556094
15,0.0508319
16,0.767051
17,0.0189148
18,0.25236
19,0.298197
20,0.875981
21,0.531557
22,0.920261
23,0.515431
24,0.810429
25,0.18842
26,0.886314
27,0.570614
28,0.0767746
29,0.815274
30,0.984891
31,0.118352
32,0.893906
33,0.784484
34,0.100916
35,0.253311
36,0.0198417
37,0.378377
38,0.678877
39,0.680923
40,0.752707
41,0.00622945
42,0.624407
43,0.126462
44,0.61755
45,0.770928
46,0.186536
47,0.496722
48,0.5095
49,0.315939
50,0.701703
51,0.367247
52,0.876312
53,0.370995
54,0.525252
55,0.427835
56,0.542743
57,0.667979
58,0.171142
59,0.830779
60,0.861905
61,0.769221
62,0.0525795
63,0.96673
64,0.334284
65,0.0820965
66,0.270315
67,0.0742624
68,0.676226
69,0.810159
70,0.464211
71,0.569185
72,0.512203
73,0.58651
74,0.738759
75,0.871689
76,0.577967
77,0.964704
78,0.333529
79,0.392828
80,0.176928
81,0.111869
82,0.852681
83,0.811172
84,0.954887
85,0.904283
86,0.138915
87,0.686187
88,0.126987
89,0.0040902
90,0.000502785
91,0.192952
92,0.58678
93,0.374959
94,0.0267859
95,0.464765
96,0.785343
97,0.442235
98,0.287904
99,0.853353
100,0.525972
101,0.728417
102,0.266314
103,0.783484
104,0.468044
105,0.196997
106,0.447177
107,0.72844
108,0.966093
109,0.756841
110,0.466057
111,0.868966
112,0.134039
113,0.846053
114,0.0180877
115,0.940855
116,0.670082
117,0.799972
118,0.143217
119,0.61046
120,0.908283
121,0.774415
122,0.366065
123,0.944288
124,0.884822
125,0.445171
126,0.163028
127,0.424817
128,0.479854
129,0.0311283
130,0.60843
131,0.792261
132,0.182497
133,0.525121
134,0.898759
135,0.30879
136,0.942626
137,0.388025
138,0.930512
139,0.911384
140,0.337718
141,0.532812
142,0.702077
143,0.971011
144,0.768085
145,0.751941
146,0.0908641
147,0.853967
148,0.174644
149,0.0197704
150,0.419054
151,0.29637
152,0.378232
153,0.418716
154,0.138448
155,0.380847
156,0.29978
157,0.0210121
158,0.238803
159,0.0371094
160,0.221059
161,0.525435
162,0.494525
163,0.882522
164,0.77383
165,0.0590025
166,0.119801
167,0.547801
168,0.341916
169,0.456812
170,0.588122
171,0.58515
172,0.069927
173,0.818931
174,0.403161
175,0.585483
176,0.191161
177,0.892277
178,0.176332
179,0.207704
180,0.115748
181,0.158915
182,0.992644
183,0.681571
184,0.811796
185,0.642215
186,0.329342
187,0.737553
188,0.823483
189,0.721261
190,0.657982
191,0.358774
192,0.610365
193,0.415004
194,0.814954
195,0.773965
196,0.274311
197,0.044742
198,0.601041
199,0.514091
200,0.630215
201,0.180893
202,0.278501
203,0.452489
204,0.642986
205,0.742832
206,0.413655
207,0.618052
208,0.618289
209,0.854436
210,0.181457
211,0.307928
212,0.0233282
213,0.00918198
214,0.951453
215,0.990755
216,0.20494
217,0.604093
218,0.935652
219,0.559567
220,0.546866
221,0.439128
222,0.449752
223,0.306805
224,0.200814
225,0.2158
226,0.0498956
227,0.209561
228,0.574563
229,0.91482
230,0.41561
231,0.654159
232,0.355701
233,0.586702
234,0.391946
235,0.0338502
236,0.285516
237,0.091604
238,0.444385
239,0.925937
240,0.921284
241,0.605927
242,0.861146
243,0.0147172
244,0.686701
245,0.844568
246,0.129647
247,0.059656
248,0.0130721
249,0.391159
250,0.865676
251,0.0150574
252,0.924289
253,0.886719
254,0.662069
255,0.654911
256,0.0763399
257,0.0929771
258,0.00325213
259,0.52667
260,0.789756
261,0.654019
262,0.545893
263,0.798389
264,0.726753
265,0.253315
266,0.255246
267,0.138354
268,0.482949
269,0.467587
270,0.100876
271,0.504214
272,0.858395
273,0.0100477
274,0.82157
275,0.964318
276,0.0194594
277,0.929619
278,0.0630804
279,0.0379622
280,0.190257
281,0.276666
282,0.447314
283,0.649382
284,0.151123
285,0.487155
286,0.649658
287,0.53428
288,0.356802
289,0.394116
290,0.721992
291,0.724702
292,0.306141
293,0.106581
294,0.91078
295,0.740914
296,0.239058
297,0.651344
298,0.368411
299,0.0261815
300,0.849258
301,0.0418161
302,0.0561211
303,0.426039
304,0.479733
305,0.501694
306,0.980527
307,0.607505
308,0.912656
309,0.750416
310,0.713813
311,0.971132
312,0.0292117
313,0.264289
314,0.0183105
315,0.0806761
316,0.154636
317,0.114352
318,0.756538
319,0.938249
320,0.128804
321,0.592612
322,0.122524
323,0.599178
324,0.0658728
325,0.256026
326,0.412451
327,0.948387
328,0.353495
329,0.0169964
330,0.973425
331,0.762359
332,0.861975
333,0.40513
334,0.867867
335,0.0367614
336,0.208479
337,0.423333
338,0.984823
339,0.564353
340,0.576262
341,0.468223
342,0.46416
343,0.761121
344,0.302084
345,0.417257
346,0.098524
347,0.136846
348,0.698138
349,0.180448
350,0.893077
351,0.730879
352,0.302287
353,0.141218
354,0.8241
355,0.442203
356,0.590112
357,0.977622
358,0.502689
359,0.897659
360,0.724808
361,0.261282
362,0.455035
363,0.261958
364,0.960489
365,0.0169306
366,0.940439
367,0.901961
368,0.0978709
369,0.521122
370,0.0847016
371,0.795402
372,0.86891
373,0.0957817
374,0.880272
375,0.00600615
376,0.202012
377,0.472639
378,0.644231
379,0.933968
380,0.0984262
381,0.570898
382,0.507583
383,0.659436
384,0.892915
385,0.735755
386,0.68925
387,0.809339
388,0.240409
389,0.763515
390,0.768728
391,0.54236
392,0.481051
393,0.41438
394,0.0735676
395,0.526698
396,0.507623
397,0.751598
398,0.131093
399,0.00937614
400,0.763973
401,0.101193
402,0.965288
403,0.0892442
404,0.11592
405,0.896274
406,0.745245
407,0.21853
408,0.58546
409,0.240793
410,0.88446
411,0.396093
412,0.0565028
413,0.927216
414,0.45242
415,0.870782
416,0.230231
417,0.488962
418,0.571254
419,0.852889
420,0.218364
421,0.920511
422,0.0386261
423,0.40839
424,0.0538191
425,0.105162
426,0.529782
427,0.572954
428,0.114494
429,0.0425676
430,0.500902
431,0.724749
432,0.494231
433,0.346086
434,0.0350746
435,0.366505
436,0.915601
437,0.504929
438,0.861768
439,0.923538
440,0.0153471
441,0.289962
442,0.239358
443,0.716462
444,0.101573
445,0.777378
446,0.244662
447,0.431663
448,0.591599
449,0.514516
450,0.768635
451,0.721587
452,0.803579
453,0.740518
454,0.50618
455,0.818314
456,0.0592642
457,0.57587
458,0.861748
459,0.551174
460,0.828654
461,0.124058
462,0.710174
463,0.00157201
464,0.0317971
465,0.291344
466,0.671436
467,0.300237
468,0.433837
469,0.273296
470,0.124291
471,0.134329
472,0.104943
473,0.416033
474,0.820584
475,0.260122
476,0.14833
477,0.0138782
478,0.221272
479,0.352915
480,0.76193
481,0.421203
482,0.686691
483,0.526691
484,0.329879
485,0.143644
486,0.375358
487,0.744665
488,0.729884
489,0.731954
490,0.17376
491,0.556697
492,0.685514
493,0.870456
494,0.558393
495,0.344739
496,0.535651
497,0.962264
498,0.923171
499,0.752715
500,0.686961
501,0.336166
502,0.360733
503,0.707908
504,0.662554
505,0.397451
506,0.0137413
507,0.407951
508,0.667512
509,0.219446
510,0.0888169
511,0.617571
512,0.0191816
513,0.217242
514,0.206055
515,0.374485
516,0.399823
517,0.293948
518,0.524278
519,0.792152
520,0.3971
521,0.727059
522,0.697282
523,0.631985
524,0.123042
525,0.733361
526,0.168706
527,0.0281082
528,0.21649
529,0.170799
530,0.170083
531,0.528646
532,0.312893
533,0.901156
534,0.443719
535,0.0791526
536,0.136992
537,0.53529
538,0.642834
539,0.842087
540,0.969753
541,0.340412
542,0.367711
543,0.712868
544,0.0456469
545,0.124773
546,0.258288
547,0.965184
548,0.837492
549,0.687851
550,0.688702
551,0.808773
552,0.52461
553,0.583177
554,0.683919
555,0.460254
556,0.759754
557,0.276283
558,0.316928
559,0.0659669
560,0.148406
561,0.472621
562,0.239584
563,0.944774
564,0.33058
565,0.260945
566,0.171349
567,0.873876
568,0.863814
569,0.478475
570,0.216758
571,0.772772
572,0.102704
573,0.207741
574,0.230993
575,0.166173
576,0.26502
577,0.804494
578,0.1085
579,0.258255
580,0.879562
581,0.2152
582,0.665078
583,0.625837
584,0.792525
585,0.345951
586,0.630425
587,0.250514
588,0.0359759
589,0.806997
590,0.405085
591,0.438404
592,0.756344
593,0.784341
594,0.480335
595,0.7159
596,0.387701
597,0.0281683
598,0.417493
599,0.900804
600,0.612354
601,0.834165
602,0.757822
603,0.606587
604,0.86144
605,0.405708
606,0.23763
607,0.584804
608,0.105243
609,0.490458
610,0.84501
611,0.704126
612,0.104651
613,0.692993
614,0.0330962
615,0.426893
616,0.732294
617,0.275132
618,0.335741
619,0.314019
620,0.218391
621,0.607551
622,0.579483
623,0.070587
624,0.47934
625,0.16088
626,0.292917
627,0.657304
628,0.996661
629,0.092966
630,0.0516261
631,0.0224522
632,0.933532
633,0.063295
634,0.712304
635,0.556107
636,0.412148
637,0.988242
638,0.46036
639,0.699764
640,0.687137
641,0.535025
642,0.576024
643,0.542324
644,0.600958
645,0.371753
646,0.897791
647,0.24556
648,0.412392
649,0.570197
650,0.290063
651,0.832116
652,0.267869
653,0.26194
654,0.49332
655,0.0659505
656,0.109539
657,0.233001
658,0.617532
659,0.703576
660,0.258866
661,0.803192
662,0.128187
663,0.404914
664,0.808443
665,0.161266
666,0.443031
667,0.690954
668,0.029097
669,0.542918
670,0.508058
671,0.913377
672,0.43881
673,0.863972
674,0.833358
675,0.665999
676,0.872171
677,0.914567
678,0.151167
679,0.0922657
680,0.674812
681,0.131121
682,0.89594
683,0.315506
684,0.0705783
685,0.581422
686,0.21381
687,0.693284
688,0.306999
689,0.804998
690,0.878733
691,0.743849
692,0.577276
693,0.867274
694,0.84547
695,0.646554
696,0.0977268
697,0.623799
698,0.803995
699,0.930262
700,0.444886
701,0.102613
702,0.942635
703,0.850835
704,0.135853
705,0.841756
706,0.683185
707,0.552864
708,0.981669
709,0.348773
710,0.753355
711,0.209897
712,0.422319
713,0.85431
714,0.0214089
715,0.254909
716,0.532371
717,0.627505
718,0.77386
719,0.627729
720,0.790272
721,0.112535
722,0.887194
723,0.773443
724,0.857243
725,0.479736
726,0.774054
727,0.285605
728,0.291724
729,0.197939
730,0.297004
731,0.476542
732,0.313978
733,0.404809
734,0.590476
735,0.415645
736,0.867308
737,0.0469354
738,0.0438109
739,0.762543
740,0.434994
741,0.490307
742,0.533305
743,0.958349
744,0.456499
745,0.96368
746,0.385154
747,0.463136
748,0.0364597
749,0.332576
750,0.868259
751,0.945686
752,0.702766
753,0.240648
754,0.198498
755,0.861911
756,0.695628
757,0.169366
758,0.854752
759,0.186674
760,0.0614069
761,0.918223
762,0.310355
763,0.19096
764,0.289511
765,0.99856
766,0.248398
767,0.848987
768,0.427422
769,0.45775
770,0.710492
771,0.500323
772,0.300612
773,0.34071
774,0.00900238
775,0.827981
776,0.366578
777,0.876902
778,0.2737
779,0.608564
780,0.764369
781,0.218197
782,0.194412
783,0.373621
784,0.654893
785,0.201899
786,0.428968
787,0.437495
788,0.058197
789,0.870058
790,0.666101
791,0.306156
792,0.110096
793,0.927995
794,0.939546
795,0.410016
796,0.213394
797,0.699112
798,0.284144
799,0.292981
800,0.633189
801,0.547851
802,0.587271
803,0.747304
804,0.0689482
805,0.956784
806,0.727227
807,0.0819872
808,0.969032
809,0.1068
810,0.0906413
811,0.440025
812,0.380172
813,0.711056
814,0.937598
815,0.290783
816,0.94199
817,0.174689
818,0.0285232
819,0.387987
820,0.945305
821,0.714289
822,0.461379
823,0.336545
824,0.825957
825,0.585883
826,0.890016
827,0.703631
828,0.919677
829,0.890181
830,0.631414
831,0.357848
832,0.0676589
833,0.792193
834,0.625854
835,0.456972
836,0.749714
837,0.292908
838,0.622832
839,0.52766
840,0.797972
841,0.697903
842,0.237892
843,0.203092
844,0.578003
845,0.556564
846,0.900761
847,0.985825
848,0.438034
849,0.401726
850,0.0105695
851,0.477996
852,0.545855
853,0.0492697
854,0.475154
855,0.729667
856,0.235276
857,0.357432
858,0.961916
859,0.0746424
860,0.151216
861,0.17388
862,0.679416
863,0.192994
864,0.74904
865,0.0830794
866,0.971513
867,0.318164
868,0.707502
869,0.51601
870,0.897557
871,0.916574
872,0.146312
873,0.698158
874,0.828978
875,0.747776
876,0.992856
877,0.830125
878,0.778833
879,0.667334
880,0.665123
881,0.248648
882,0.138917
883,0.582616
884,0.37954
885,0.175742
886,0.999364
887,0.598802
888,0.75652
889,0.991894
890,0.616913
891,0.0997007
892,0.0896034
893,0.868316
894,0.556957
895,0.561984
896,0.225576
897,0.556367
898,0.816021
899,0.584443
900,0.735675
901,0.293196
902,0.918379
903,0.473664
904,0.157721
905,0.165792
906,0.734353
907,0.827632
908,0.974665
909,0.0460466
910,0.0775884
911,0.728267
912,0.538749
913,0.922804
914,0.0717326
915,0.237515
916,0.927368
917,0.309434
918,0.728931
919,0.999725
920,0.255177
921,0.484168
922,0.127023
923,0.511578
924,0.99839
925,0.85283
926,0.311062
927,0.421436
928,0.596208
929,0.327819
930,0.457622
931,0.469884
932,0.868525
933,0.552036
934,0.635386
935,0.0552168
936,0.469349
937,0.211341
938,0.45875
939,0.090265
940,0.725661
941,0.864116
942,0.177029
943,0.764288
944,0.288849
945,0.352192
946,0.962524
947,0.00540993
948,0.250467
949,0.265178
950,0.876898
951,0.0906464
952,0.899379
953,0.321905
954,0.805478
955,0.722877
956,0.479585
957,0.260901
958,0.480124
959,0.503812
960,0.957014
961,0.639628
962,0.0680288
963,0.611262
964,0.431724
965,0.2135
966,0.0191862
967,0.435767
968,0.905344
969,0.574822
970,0.350561
971,0.259245
972,0.301015
973,0.893831
974,0.0392974
975,0.846019
976,0.0566365
977,0.724551
978,0.0181514
979,0.158967
980,0.0971701
981,0.363671
982,0.559112
983,0.671062
984,0.316299
985,0.517762
986,0.819621
987,0.791155
988,0.843438
989,0.520703
990,0.561588
991,0.40412
992,0.773436
993,0.91708
994,0.666449
995,0.0966452
996,0.831045
997,0.397558
998,0.0178489
999,0.223899
1000,0.721142
1001,0.238074
1002,0.64325
1003,0.00743158
1004,0.972757
1005,0.0962819
1006,0.0611293
1007,0.545193
1008,0.667218
1009,0.186609
1010,0.513874
1011,0.180096
1012,0.998382
1013,0.0609063
1014,0.948419
1015,0.59951
1016,0.549341
1017,0.926818
1018,0.0858356
1019,0.325443
1020,0.0915002
1021,0.243319
1022,0.874161
1023,0.670519
1024,0.678279
1025,0.235385
1026,0.800649
1027,0.560397
1028,0.579377
1029,0.601434
1030,0.533374
1031,0.906955
1032,0.898543
1033,0.572246
1034,0.828797
1035,0.0216981
1036,0.456984
1037,0.283699
1038,0.570828
1039,0.214712
1040,0.0779817
1041,0.203492
1042,0.765427
1043,0.575654
1044,0.851232
1045,0.800253
1046,0.69841
1047,0.590226
1048,0.316103
1049,0.349143
1050,0.746505
1051,0.834178
1052,0.0129699
1053,0.458611
1054,0.314558
1055,0.398833
1056,0.195499
1057,0.69666
1058,0.435045
1059,0.844583
1060,0.062006
1061,0.350515
1062,0.917694
1063,0.524647
1064,0.991565
1065,0.520446
1066,0.863172
1067,0.759068
1068,0.504339
1069,0.216648
1070,0.469778
1071,0.0226138
1072,0.00278047
1073,0.0782817
1074,0.558127
1075,0.509557
1076,0.490997
1077,0.587194
1078,0.136681
1079,0.88872
1080,0.067121
1081,0.917522
1082,0.729
1083,0.014542
1084,0.894317
1085,0.698749
1086,0.508778
1087,0.83097
1088,0.889769
1089,0.217069
1090,0.545829
1091,0.726788
1092,0.540194
1093,0.821913
1094,0.488208
1095,0.471584
1096,0.0230832
1097,0.315544
1098,0.703843
1099,0.394255
1100,0.353783
1101,0.798884
1102,0.518482
1103,0.239946
1104,0.211884
1105,0.131736
1106,0.533013
1107,0.751298
