N,integral
1,51.8016
2,17.5137
3,12.128
4,26.5672
5,18.9167
6,29.6628
7,15.5693
8,14.631
9,29.5548
10,15.7986
11,22.0019
12,16.9033
13,11.9629
14,26.4593
15,25.0134
16,17.5532
17,16.7358
18,15.6342
19,19.1976
20,15.9499
21,18.9843
22,19.405
23,14.483
24,17.2249
25,18.6962
26,21.9118
27,21.0314
28,15.8798
29,16.9585
30,20.718
31,19.6224
32,18.856
33,16.368
34,14.956
35,19.5742
36,19.6067
37,21.1496
38,18.7517
39,19.3868
40,17.7238
41,17.8225
42,17.5368
43,20.0996
44,16.4081
45,18.9774
46,20.7352
47,20.955
48,18.8705
49,15.9325
50,15.3015
51,15.7562
52,18.7533
53,18.976
54,19.0262
55,18.7193
56,22.7489
57,16.8071
58,18.3879
59,16.7096
60,16.5899
61,18.974
62,17.0839
63,16.7064
64,16.9423
65,20.6557
66,19.1795
67,20.1829
68,18.2192
69,15.8979
70,16.0215
71,20.358
72,17.4795
73,18.6999
74,23.0101
75,19.5698
76,19.7361
77,18.0012
78,15.1459
79,19.2787
80,16.716
81,17.0321
82,17.4818
83,19.457
84,18.9172
85,17.5568
86,18.8102
87,17.0993
88,18.8314
89,18.4092
90,17.1176
91,18.4625
92,17.7499
93,22.5096
94,17.3778
95,20.3288
96,19.6029
97,23.1935
98,18.7845
99,18.5389
100,15.6735
101,19.3737
102,18.1857
103,17.6602
104,17.9733
105,20.0281
106,17.9636
107,22.5075
108,19.0119
109,18.8683
110,20.1128
111,18.8187
112,16.1297
113,18.6484
114,17.1484
115,18.2406
116,18.8645
117,17.7334
118,17.1143
119,17.4659
120,18.2803
121,18.124
122,20.2507
123,16.5864
124,18.1599
125,19.5064
126,18.6772
127,20.172
128,18.7028
129,18.0087
130,18.8208
131,18.2269
132,18.8527
133,16.0559
134,20.0291
135,17.5914
136,17.7469
137,20.1584
138,18.0272
139,18.6779
140,18.9163
141,20.4667
142,20.3247
143,17.8324
144,19.0927
145,18.6645
146,19.9153
147,19.8697
148,17.8167
149,16.1737
150,19.8887
151,17.9463
152,17.3135
153,18.8875
154,17.8514
155,20.0467
156,19.6223
157,19.4572
158,21.746
159,19.0657
160,19.9062
161,17.3038
162,16.9532
163,19.1997
164,19.4247
165,19.1536
166,19.5287
167,18.9869
168,20.0508
169,18.7371
170,19.2505
171,19.2028
172,18.5624
173,18.7278
