N,relError
1,1.76275
2,0.065938
3,0.353172
4,0.416917
5,0.00889227
6,0.582016
7,0.169638
8,0.219682
9,0.576255
10,0.157408
11,0.173436
12,0.0984921
13,0.361977
14,0.411164
15,0.334047
16,0.0638313
17,0.107423
18,0.166176
19,0.0238701
20,0.149341
21,0.0124963
22,0.0349325
23,0.227572
24,0.0813385
25,0.00287087
26,0.168628
27,0.121676
28,0.153078
29,0.0955455
30,0.104961
31,0.0465264
32,0.00565437
33,0.12704
34,0.202348
35,0.043955
36,0.0456919
37,0.127977
38,8.82359e-05
39,0.0339634
40,0.0547281
41,0.0494665
42,0.0647019
43,0.0719785
44,0.124903
45,0.0121257
46,0.105875
47,0.117601
48,0.00642852
49,0.150268
50,0.183921
51,0.159668
52,0.000176757
53,0.0120521
54,0.0147318
55,0.00163912
56,0.213273
57,0.10362
58,0.0193134
59,0.108821
60,0.115206
61,0.0119454
62,0.0888605
63,0.108991
64,0.0964099
65,0.101638
66,0.0229072
67,0.0764208
68,0.0283118
69,0.152111
70,0.145522
71,0.0857601
72,0.0677585
73,0.00267068
74,0.227207
75,0.0437219
76,0.0525934
77,0.039938
78,0.192218
79,0.0281976
80,0.108481
81,0.0916229
82,0.0676376
83,0.0377051
84,0.00891776
85,0.0636372
86,0.0032084
87,0.0880352
88,0.00434392
89,0.0181743
90,0.0870605
91,0.0153323
92,0.0533373
93,0.20051
94,0.0731847
95,0.0842022
96,0.0454861
97,0.236989
98,0.00184192
99,0.0112582
100,0.164079
101,0.0332661
102,0.0300945
103,0.0581208
104,0.0414266
105,0.0681677
106,0.0419424
107,0.200402
108,0.0139704
109,0.00631036
110,0.0726838
111,0.00366173
112,0.139748
113,0.00542057
114,0.0854165
115,0.0271701
116,0.00610457
117,0.0542168
118,0.0872388
119,0.068486
120,0.025053
121,0.0333893
122,0.080036
123,0.115389
124,0.0314729
125,0.0403413
126,0.00388197
127,0.075842
128,0.00251621
129,0.0395355
130,0.00377644
131,0.0278964
132,0.00547854
133,0.143686
134,0.0682212
135,0.0617901
136,0.0534961
137,0.0751146
138,0.0385469
139,0.00384339
140,0.00886853
141,0.0915553
142,0.083983
143,0.0489396
144,0.0182765
145,0.00455888
146,0.0621511
147,0.0597198
148,0.0497751
149,0.137403
150,0.060728
151,0.0428634
152,0.0766154
153,0.00733596
154,0.0479234
155,0.0691591
156,0.046523
157,0.0377169
158,0.159789
159,0.0168351
160,0.061663
161,0.0771314
162,0.0958279
163,0.0239859
164,0.0359816
165,0.0215278
166,0.0415281
167,0.012632
168,0.0693776
169,0.000689788
170,0.0266938
171,0.0241489
172,0.0100045
173,0.0011866
174,0.0150707
175,0.00253954
176,0.0680454
177,0.0571651
178,0.0599929
179,0.0935374
180,0.00321345
181,0.00867436
182,0.0420746
183,0.0153883
184,0.0333565
185,0.0196733
186,0.0162566
187,0.0268535
